,pre
1901-01-01,114.66312
1901-02-01,116.84061
1901-03-01,127.518715
1901-04-01,107.033966
1901-05-01,103.70881
1901-06-01,100.40004
1901-07-01,112.98198
1901-08-01,113.512955
1901-09-01,103.85015
1901-10-01,103.314064
1901-11-01,100.39702
1901-12-01,109.85075
1902-01-01,116.210045
1902-02-01,107.99986
1902-03-01,117.755806
1902-04-01,105.142365
1902-05-01,100.26829
1902-06-01,98.88609
1902-07-01,104.308464
1902-08-01,109.358986
1902-09-01,100.64758
1902-10-01,101.52695
1902-11-01,99.585884
1902-12-01,109.75409
1903-01-01,115.96098
1903-02-01,107.43043
1903-03-01,118.506546
1903-04-01,106.068375
1903-05-01,105.7534
1903-06-01,104.13576
1903-07-01,109.003845
1903-08-01,115.56622
1903-09-01,107.56282
1903-10-01,104.821526
1903-11-01,98.94963
1903-12-01,116.38266
1904-01-01,128.02777
1904-02-01,110.97188
1904-03-01,121.86493
1904-04-01,110.06459
1904-05-01,107.80303
1904-06-01,100.50018
1904-07-01,111.05055
1904-08-01,105.26436
1904-09-01,102.56307
1904-10-01,105.99697
1904-11-01,96.017845
1904-12-01,110.36655
1905-01-01,112.359726
1905-02-01,105.39228
1905-03-01,115.54066
1905-04-01,104.225464
1905-05-01,102.38626
1905-06-01,97.37464
1905-07-01,109.17979
1905-08-01,109.507774
1905-09-01,112.728485
1905-10-01,102.86834
1905-11-01,100.92467
1905-12-01,106.70043
1906-01-01,120.18682
1906-02-01,111.74338
1906-03-01,119.4396
1906-04-01,109.099266
1906-05-01,106.20145
1906-06-01,106.87041
1906-07-01,108.0009
1906-08-01,117.06954
1906-09-01,107.51065
1906-10-01,103.97313
1906-11-01,99.16845
1906-12-01,111.801254
1907-01-01,113.40816
1907-02-01,116.38445
1907-03-01,118.21593
1907-04-01,112.81957
1907-05-01,104.45611
1907-06-01,101.3772
1907-07-01,104.44375
1907-08-01,108.97771
1907-09-01,99.081345
1907-10-01,100.44475
1907-11-01,102.073425
1907-12-01,117.98432
1908-01-01,114.007484
1908-02-01,114.743225
1908-03-01,114.58901
1908-04-01,108.780975
1908-05-01,102.56676
1908-06-01,102.614746
1908-07-01,113.41201
1908-08-01,118.807884
1908-09-01,113.09382
1908-10-01,106.36253
1908-11-01,104.201675
1908-12-01,113.47397
1909-01-01,118.820015
1909-02-01,109.7407
1909-03-01,120.30165
1909-04-01,112.447914
1909-05-01,108.4538
1909-06-01,109.56166
1909-07-01,115.51431
1909-08-01,121.02715
1909-09-01,107.59685
1909-10-01,104.79646
1909-11-01,101.123695
1909-12-01,110.551346
1910-01-01,117.69931
1910-02-01,113.47045
1910-03-01,120.26891
1910-04-01,108.17891
1910-05-01,106.61819
1910-06-01,106.28885
1910-07-01,110.669785
1910-08-01,122.45773
1910-09-01,110.523735
1910-10-01,109.413506
1910-11-01,102.656044
1910-12-01,113.263794
1911-01-01,111.73552
1911-02-01,108.19211
1911-03-01,118.72924
1911-04-01,106.663605
1911-05-01,105.31314
1911-06-01,100.37133
1911-07-01,101.7128
1911-08-01,102.521255
1911-09-01,98.46481
1911-10-01,101.11777
1911-11-01,96.826324
1911-12-01,109.20279
1912-01-01,116.3628
1912-02-01,115.46161
1912-03-01,115.84631
1912-04-01,100.84595
1912-05-01,97.04012
1912-06-01,102.05904
1912-07-01,113.586266
1912-08-01,113.883484
1912-09-01,97.633545
1912-10-01,101.086365
1912-11-01,101.28178
1912-12-01,107.03416
1913-01-01,115.735695
1913-02-01,117.07205
1913-03-01,121.36339
1913-04-01,109.027054
1913-05-01,107.73182
1913-06-01,99.866905
1913-07-01,106.86365
1913-08-01,107.14531
1913-09-01,101.08079
1913-10-01,97.7619
1913-11-01,95.747345
1913-12-01,108.12279
1914-01-01,126.77015
1914-02-01,102.633385
1914-03-01,110.3282
1914-04-01,104.777534
1914-05-01,99.08843
1914-06-01,103.94202
1914-07-01,101.1104
1914-08-01,107.91861
1914-09-01,98.00309
1914-10-01,101.06807
1914-11-01,94.21732
1914-12-01,110.27863
1915-01-01,112.27406
1915-02-01,98.18917
1915-03-01,109.75418
1915-04-01,99.31103
1915-05-01,105.83958
1915-06-01,107.225204
1915-07-01,107.69443
1915-08-01,110.95623
1915-09-01,105.995384
1915-10-01,105.213615
1915-11-01,102.59942
1915-12-01,116.736824
1916-01-01,116.47243
1916-02-01,108.17941
1916-03-01,122.96441
1916-04-01,107.83916
1916-05-01,105.54087
1916-06-01,106.686386
1916-07-01,116.76797
1916-08-01,121.87092
1916-09-01,111.443726
1916-10-01,114.58843
1916-11-01,112.58334
1916-12-01,126.72776
1917-01-01,127.81016
1917-02-01,116.54836
1917-03-01,124.73707
1917-04-01,105.673904
1917-05-01,108.37887
1917-06-01,104.62728
1917-07-01,109.2145
1917-08-01,127.296974
1917-09-01,114.09574
1917-10-01,108.73532
1917-11-01,105.044106
