,pre
1891-01-01,115.52187
1891-02-01,117.32214
1891-03-01,125.22755
1891-04-01,113.85299
1891-05-01,115.26453
1891-06-01,111.117226
1891-07-01,119.21631
1891-08-01,117.175
1891-09-01,114.50906
1891-10-01,112.80257
1891-11-01,109.79886
1891-12-01,119.51436
1892-01-01,129.72765
1892-02-01,113.30817
1892-03-01,126.95784
1892-04-01,119.24551
1892-05-01,115.49365
1892-06-01,114.92457
1892-07-01,118.4178
1892-08-01,121.318695
1892-09-01,116.849236
1892-10-01,117.1524
1892-11-01,108.58886
1892-12-01,121.12005
1893-01-01,126.257645
1893-02-01,114.30165
1893-03-01,124.3258
1893-04-01,116.19097
1893-05-01,116.8816
1893-06-01,115.76493
1893-07-01,121.34001
1893-08-01,124.17158
1893-09-01,113.8072
1893-10-01,116.054
1893-11-01,115.043755
1893-12-01,124.02799
1894-01-01,133.31569
1894-02-01,119.81837
1894-03-01,127.23574
1894-04-01,118.09185
1894-05-01,110.8967
1894-06-01,119.43853
1894-07-01,121.827896
1894-08-01,119.887375
1894-09-01,117.73057
1894-10-01,117.25104
1894-11-01,113.05484
1894-12-01,122.36901
1895-01-01,131.9065
1895-02-01,117.42364
1895-03-01,126.60878
1895-04-01,116.58474
1895-05-01,116.7193
1895-06-01,111.92108
1895-07-01,122.40472
1895-08-01,120.39415
1895-09-01,113.702065
1895-10-01,114.45618
1895-11-01,108.724304
1895-12-01,121.15793
1896-01-01,130.55458
1896-02-01,121.9925
1896-03-01,125.71057
1896-04-01,113.680504
1896-05-01,110.311806
1896-06-01,115.99558
1896-07-01,118.02997
1896-08-01,118.568275
1896-09-01,110.02534
1896-10-01,107.41761
1896-11-01,113.00373
1896-12-01,119.4806
1897-01-01,125.86372
1897-02-01,118.77754
1897-03-01,121.31845
1897-04-01,112.41149
1897-05-01,115.37638
1897-06-01,113.00944
1897-07-01,118.37518
1897-08-01,123.82579
1897-09-01,116.48669
1897-10-01,113.07501
1897-11-01,107.20048
1897-12-01,125.57966
1898-01-01,126.11296
1898-02-01,120.84935
1898-03-01,126.117035
1898-04-01,117.93486
1898-05-01,110.03591
1898-06-01,113.09197
1898-07-01,122.95337
1898-08-01,121.56603
1898-09-01,115.815315
1898-10-01,110.6665
1898-11-01,111.462944
1898-12-01,126.496765
1899-01-01,130.055
1899-02-01,113.92524
1899-03-01,132.63339
1899-04-01,119.611244
1899-05-01,111.81854
1899-06-01,112.0674
1899-07-01,114.81794
1899-08-01,116.695175
1899-09-01,112.4867
1899-10-01,111.41192
1899-11-01,106.088036
1899-12-01,117.75876
1900-01-01,126.06416
1900-02-01,110.32767
1900-03-01,124.35039
1900-04-01,115.391174
1900-05-01,112.452194
1900-06-01,113.75917
1900-07-01,122.89333
1900-08-01,119.766594
1900-09-01,115.92227
1900-10-01,107.99851
1900-11-01,109.36908
1900-12-01,115.505196
1901-01-01,123.14587
1901-02-01,123.10386
1901-03-01,131.80133
1901-04-01,115.58897
1901-05-01,114.51657
1901-06-01,115.39517
1901-07-01,123.79676
1901-08-01,121.992165
1901-09-01,109.96022
1901-10-01,112.171074
1901-11-01,111.53245
1901-12-01,117.4402
1902-01-01,128.76157
1902-02-01,117.52447
1902-03-01,124.52591
1902-04-01,112.00448
1902-05-01,111.08728
1902-06-01,103.59134
1902-07-01,115.40174
1902-08-01,114.11832
1902-09-01,109.92458
1902-10-01,105.6144
1902-11-01,104.83922
1902-12-01,118.61225
1903-01-01,121.99152
1903-02-01,113.050865
1903-03-01,126.58257
1903-04-01,112.07733
1903-05-01,113.722404
1903-06-01,110.00669
1903-07-01,123.326546
1903-08-01,124.81402
1903-09-01,117.29993
1903-10-01,115.177444
1903-11-01,108.04904
1903-12-01,127.91293
1904-01-01,135.19194
1904-02-01,117.078064
1904-03-01,126.847
1904-04-01,117.61404
1904-05-01,114.087395
1904-06-01,115.19273
1904-07-01,120.3436
1904-08-01,113.73677
1904-09-01,111.1163
1904-10-01,114.208755
1904-11-01,106.78216
1904-12-01,123.015495
1905-01-01,121.883545
1905-02-01,111.26157
1905-03-01,116.48866
1905-04-01,113.91708
1905-05-01,113.57753
1905-06-01,107.2714
1905-07-01,117.74949
1905-08-01,116.01388
1905-09-01,115.20571
1905-10-01,110.52382
1905-11-01,107.865204
1905-12-01,110.88606
1906-01-01,128.52864
1906-02-01,116.242004
1906-03-01,124.663055
1906-04-01,114.684044
1906-05-01,114.649345
1906-06-01,114.896614
1906-07-01,118.10341
1906-08-01,123.5566
1906-09-01,118.02252
1906-10-01,114.67515
1906-11-01,109.064026
1906-12-01,130.32117
1907-01-01,123.96901
1907-02-01,120.45684
1907-03-01,124.44457
1907-04-01,114.92611
1907-05-01,112.69932
1907-06-01,111.400085
1907-07-01,113.85735
1907-08-01,115.22149
1907-09-01,107.66373
1907-10-01,108.11393
1907-11-01,110.39447
1907-12-01,128.02884
1908-01-01,119.214264
1908-02-01,122.35802
1908-03-01,121.98732
1908-04-01,115.09935
1908-05-01,117.084496
1908-06-01,112.00277
1908-07-01,124.0024
1908-08-01,125.427155
1908-09-01,119.398476
1908-10-01,113.234604
1908-11-01,114.51059
1908-12-01,123.840385
1909-01-01,127.97509
1909-02-01,115.62616
1909-03-01,125.87601
1909-04-01,118.8152
1909-05-01,114.07582
1909-06-01,120.91776
1909-07-01,124.25266
1909-08-01,126.89661
1909-09-01,117.975006
1909-10-01,114.28592
1909-11-01,113.566315
1909-12-01,119.41676
1910-01-01,127.40411
1910-02-01,119.254036
1910-03-01,128.1995
1910-04-01,119.06067
1910-05-01,116.47282
1910-06-01,118.04484
1910-07-01,117.90433
1910-08-01,129.40704
1910-09-01,124.89337
1910-10-01,116.09237
1910-11-01,115.0667
1910-12-01,125.12634
1911-01-01,125.17852
1911-02-01,114.25972
1911-03-01,119.96225
1911-04-01,112.709335
1911-05-01,115.331955
1911-06-01,110.290436
1911-07-01,111.887054
1911-08-01,109.866554
1911-09-01,107.03482
1911-10-01,106.97338
1911-11-01,106.881
1911-12-01,116.0883
1912-01-01,124.14818
1912-02-01,122.60739
1912-03-01,119.78877
1912-04-01,108.29123
1912-05-01,106.89396
1912-06-01,114.16151
1912-07-01,121.082695
1912-08-01,118.6016
1912-09-01,105.90607
1912-10-01,109.758354
1912-11-01,114.18262
1912-12-01,117.06552
1913-01-01,126.414825
1913-02-01,119.796135
1913-03-01,132.3386
1913-04-01,118.28868
1913-05-01,120.38383
1913-06-01,114.44054
1913-07-01,119.05249
1913-08-01,112.59769
1913-09-01,104.35633
1913-10-01,104.00442
1913-11-01,102.18098
1913-12-01,117.64722
1914-01-01,130.83688
1914-02-01,111.37922
1914-03-01,117.94816
1914-04-01,107.520706
1914-05-01,110.240875
1914-06-01,113.245735
1914-07-01,111.863106
1914-08-01,111.2175
1914-09-01,104.65462
1914-10-01,100.64648
1914-11-01,101.716034
1914-12-01,116.58143
1915-01-01,119.965355
1915-02-01,103.32133
