,tmp
1901-01-01,23.659931
1901-02-01,24.422297
1901-03-01,25.298944
1901-04-01,25.843245
1901-05-01,25.670801
1901-06-01,24.899689
1901-07-01,24.432627
1901-08-01,24.742893
1901-09-01,25.49803
1901-10-01,25.627235
1901-11-01,24.747852
1901-12-01,23.776823
1902-01-01,23.527683
1902-02-01,24.353487
1902-03-01,25.402819
1902-04-01,25.987778
1902-05-01,25.877121
1902-06-01,25.095676
1902-07-01,24.534101
1902-08-01,24.853195
1902-09-01,25.502388
1902-10-01,25.474726
1902-11-01,24.807817
1902-12-01,23.789307
1903-01-01,23.620966
1903-02-01,24.368063
1903-03-01,25.317223
1903-04-01,25.891743
1903-05-01,25.652586
1903-06-01,24.99617
1903-07-01,24.432966
1903-08-01,24.774885
1903-09-01,25.376926
1903-10-01,25.43139
1903-11-01,24.558966
1903-12-01,23.59971
1904-01-01,23.385244
1904-02-01,24.15844
1904-03-01,25.1188
1904-04-01,25.743069
1904-05-01,25.511204
1904-06-01,24.841982
1904-07-01,24.289116
1904-08-01,24.711458
1904-09-01,25.350214
1904-10-01,25.385078
1904-11-01,24.643116
1904-12-01,23.61317
1905-01-01,23.516464
1905-02-01,24.007208
1905-03-01,25.043968
1905-04-01,25.683165
1905-05-01,25.69402
1905-06-01,25.038176
1905-07-01,24.367577
1905-08-01,24.727386
1905-09-01,25.41602
1905-10-01,25.681591
1905-11-01,24.858631
1905-12-01,23.89674
1906-01-01,23.645504
1906-02-01,24.362743
1906-03-01,25.202389
1906-04-01,25.9584
1906-05-01,25.848082
1906-06-01,24.918499
1906-07-01,24.381628
1906-08-01,24.632967
1906-09-01,25.347288
1906-10-01,25.483427
1906-11-01,24.686829
1906-12-01,23.765676
1907-01-01,23.548944
1907-02-01,24.123768
1907-03-01,25.124842
1907-04-01,25.594355
1907-05-01,25.502476
1907-06-01,24.78297
1907-07-01,24.26396
1907-08-01,24.428106
1907-09-01,25.36646
1907-10-01,25.613535
1907-11-01,24.628424
1907-12-01,23.593039
1908-01-01,23.548647
1908-02-01,24.180138
1908-03-01,25.23777
1908-04-01,25.963438
1908-05-01,25.701668
1908-06-01,24.910261
1908-07-01,24.365204
1908-08-01,24.548376
1908-09-01,25.401354
1908-10-01,25.386158
1908-11-01,24.560768
1908-12-01,23.709826
1909-01-01,23.559694
1909-02-01,24.382027
1909-03-01,25.4583
1909-04-01,25.689445
1909-05-01,25.538689
1909-06-01,24.714567
1909-07-01,24.269344
1909-08-01,24.677954
1909-09-01,25.331436
1909-10-01,25.464962
1909-11-01,24.694984
1909-12-01,23.646208
1910-01-01,23.362137
1910-02-01,24.24841
1910-03-01,24.96046
1910-04-01,25.668762
1910-05-01,25.573292
1910-06-01,24.923183
1910-07-01,24.32684
1910-08-01,24.719389
1910-09-01,25.33151
1910-10-01,25.271109
1910-11-01,24.48103
1910-12-01,23.56211
1911-01-01,23.542921
1911-02-01,24.08772
1911-03-01,25.033503
1911-04-01,25.629457
1911-05-01,25.44673
1911-06-01,24.596638
1911-07-01,24.200525
1911-08-01,24.563974
1911-09-01,25.247858
1911-10-01,25.497847
1911-11-01,24.769197
1911-12-01,23.882221
1912-01-01,23.683014
1912-02-01,24.49769
1912-03-01,25.338484
1912-04-01,25.927513
1912-05-01,25.790913
1912-06-01,24.90094
1912-07-01,24.097086
1912-08-01,24.535427
1912-09-01,25.26963
1912-10-01,25.340277
1912-11-01,24.617622
1912-12-01,23.599483
1913-01-01,23.474133
1913-02-01,24.214676
1913-03-01,24.844261
1913-04-01,25.759577
1913-05-01,25.368128
1913-06-01,24.593843
1913-07-01,24.390762
1913-08-01,24.6456
1913-09-01,25.366163
1913-10-01,25.447884
1913-11-01,24.573885
1913-12-01,23.643936
1914-01-01,23.807169
1914-02-01,24.31542
1914-03-01,25.324444
1914-04-01,25.775476
1914-05-01,25.650978
1914-06-01,24.971876
1914-07-01,24.303648
1914-08-01,24.534555
1914-09-01,25.343565
1914-10-01,25.463118
1914-11-01,24.810236
1914-12-01,23.851147
1915-01-01,23.668852
1915-02-01,24.480755
1915-03-01,25.35615
1915-04-01,25.970936
1915-05-01,25.705826
1915-06-01,24.921804
1915-07-01,24.483776
1915-08-01,24.76291
1915-09-01,25.390133
1915-10-01,25.58725
1915-11-01,24.826672
1915-12-01,23.733023
1916-01-01,23.390278
1916-02-01,24.262905
1916-03-01,25.260754
1916-04-01,25.720226
1916-05-01,25.528734
1916-06-01,24.69241
1916-07-01,24.196165
1916-08-01,24.535616
1916-09-01,25.269875
1916-10-01,25.309635
1916-11-01,24.430079
1916-12-01,23.57333
1917-01-01,23.425861
1917-02-01,24.06617
1917-03-01,24.939035
1917-04-01,25.499449
1917-05-01,25.224953
1917-06-01,24.527918
1917-07-01,24.22624
1917-08-01,24.526003
1917-09-01,25.132229
1917-10-01,25.255243
1917-11-01,24.404995
1917-12-01,23.478708
1918-01-01,23.14975
1918-02-01,23.844917
1918-03-01,24.881662
1918-04-01,25.412066
1918-05-01,25.291838
1918-06-01,24.756641
1918-07-01,24.278124
1918-08-01,24.447868
1918-09-01,25.32566
1918-10-01,25.604273
1918-11-01,24.733856
1918-12-01,23.84811
1919-01-01,23.85355
1919-02-01,24.534641
1919-03-01,25.477842
1919-04-01,25.90471
1919-05-01,25.659357
1919-06-01,24.850266
1919-07-01,24.267473
1919-08-01,24.57771
1919-09-01,25.326136
1919-10-01,25.50321
1919-11-01,24.759073
1919-12-01,23.797754
1920-01-01,23.564768
1920-02-01,24.151085
1920-03-01,25.139015
1920-04-01,25.681738
1920-05-01,25.468012
1920-06-01,24.739313
1920-07-01,24.159216
1920-08-01,24.47324
1920-09-01,25.38823
1920-10-01,25.559603
1920-11-01,24.740362
1920-12-01,23.63362
1921-01-01,23.528944
1921-02-01,24.134424
1921-03-01,25.13283
1921-04-01,25.802122
1921-05-01,25.696285
1921-06-01,24.744703
1921-07-01,24.137157
1921-08-01,24.554136
1921-09-01,25.251076
1921-10-01,25.396599
1921-11-01,24.613062
1921-12-01,23.951492
1922-01-01,23.769537
1922-02-01,24.423409
1922-03-01,25.233896
1922-04-01,25.879827
1922-05-01,25.53127
1922-06-01,24.831686
1922-07-01,24.072893
1922-08-01,24.471058
1922-09-01,25.208027
1922-10-01,25.276619
1922-11-01,24.754658
1922-12-01,23.722649
1923-01-01,23.713493
1923-02-01,24.19791
1923-03-01,25.26605
1923-04-01,25.689047
1923-05-01,25.467426
1923-06-01,24.847713
1923-07-01,23.996254
1923-08-01,24.424143
1923-09-01,25.263435
1923-10-01,25.439213
1923-11-01,24.798233
1923-12-01,23.98372
1924-01-01,23.83987
1924-02-01,24.571861
1924-03-01,25.607712
1924-04-01,25.825632
1924-05-01,25.673527
1924-06-01,24.904371
1924-07-01,24.250174
1924-08-01,24.476343
1924-09-01,25.252556
1924-10-01,25.338425
1924-11-01,24.643766
1924-12-01,23.662367
1925-01-01,22.996128
1925-02-01,23.90245
1925-03-01,25.226076
1925-04-01,25.814125
1925-05-01,25.533888
1925-06-01,24.686747
1925-07-01,24.167257
1925-08-01,24.67222
1925-09-01,25.285114
1925-10-01,25.341642
1925-11-01,24.844728
1925-12-01,23.988474
1926-01-01,23.779848
1926-02-01,24.595133
