,year,month,time,CGR,tmp_cru,pre_cru,pre_gpcc,tws_grace,nina34,nina3,nina4,eruption
1958-03-01,1958,3,1958-03-01,,,,,,,,,0
1958-04-01,1958,4,1958-04-01,,,,,,,,,0
1958-05-01,1958,5,1958-05-01,,,,,,,,,0
1958-06-01,1958,6,1958-06-01,,,,,,,,,0
1958-07-01,1958,7,1958-07-01,,,,,,,,,0
1958-08-01,1958,8,1958-08-01,,,,,,,,,0
1958-09-01,1958,9,1958-09-01,,,,,,,,,0
1958-10-01,1958,10,1958-10-01,,,,,,,,,0
1958-11-01,1958,11,1958-11-01,,,,,,,,,0
1958-12-01,1958,12,1958-12-01,,,,,,,,,0
1959-01-01,1959,1,1959-01-01,,,,,,,,,0
1959-02-01,1959,2,1959-02-01,,0.35775791266426793,-3.4307950794189863,-3.070827132515896,-5.570109300599574,0.5489139625373525,0.4057182233569097,0.5581613690258486,0
1959-03-01,1959,3,1959-03-01,0.43036158231724,0.31585288612877593,-2.7732575404437148,-2.5068802530787986,-5.766078284466283,0.48274463411093654,0.3509231049860019,0.47499834598749036,0
1959-04-01,1959,4,1959-04-01,-1.002190228075487,0.28257541460320323,-2.9602251435807183,-2.422612124168667,-5.9471441364722795,0.4490386841775309,0.3202270342894497,0.4367636423396347,0
1959-05-01,1959,5,1959-05-01,0.0788350752614766,0.2619625460401648,-2.1417717063509576,-2.0113340590091657,-5.939345756262906,0.3978441314496779,0.28205313315585445,0.40855199520908475,0
1959-06-01,1959,6,1959-06-01,0.28638585228141045,0.2578453820856701,-1.8046695796777792,-1.398698808675699,-5.92401850212677,0.3466368947734353,0.239689809282563,0.36864929435879384,0
1959-07-01,1959,7,1959-07-01,-0.16618632815287326,0.2673906148536359,-1.1567873569478389,-0.38702142432065084,-5.730671465111489,0.27210776416077204,0.18734867632744792,0.3204363591990107,0
1959-08-01,1959,8,1959-08-01,-1.8756329381424293,0.2545590865678238,-1.015998441678208,-0.21913896334856212,-5.71889129324061,0.20839924296707876,0.13165143823706438,0.2863656611102498,0
1959-09-01,1959,9,1959-09-01,-0.2622782104752277,0.2364142378673509,-0.2134007474543665,0.4655928639713764,-5.299570325238861,0.16802340408610977,0.11262057442473836,0.2514609544484928,0
1959-10-01,1959,10,1959-10-01,0.3288534497857074,0.23415593729506598,-0.6998513828147744,-0.23229542852974766,-5.140922539832838,0.1501590706352596,0.1169452685512177,0.21324608029100928,0
1959-11-01,1959,11,1959-11-01,1.5375108248045286,0.21645172001914698,-0.1329362566956452,0.41426455550429914,-5.139553944228338,0.09061528875499995,0.0895805024505692,0.15917338168568698,0
1959-12-01,1959,12,1959-12-01,0.3181450567195243,0.19550018059064356,-0.12157790989409525,0.35187778146391313,-4.7923219083338875,0.053583056919597166,0.08390465039083966,0.10679056111037666,0
1960-01-01,1960,1,1960-01-01,0.1849051006979776,0.18474859426527845,-0.15477840393674183,0.5942138304297261,-5.049508262758891,-0.014295327224881221,0.06153932471386375,0.04354987671034655,0
1960-02-01,1960,2,1960-02-01,-0.587333488694741,0.19690835355642583,0.895940125681306,1.88161829604691,-4.74385640571813,-0.08884101979826506,0.0266737185478389,-0.0021914752885175415,0
1960-03-01,1960,3,1960-03-01,0.3447800422786913,0.1753598480877686,1.3513561010377504,2.0596148682190947,-4.207190741318737,-0.1300295048725249,0.009352953746868509,-0.023718934091027433,0
1960-04-01,1960,4,1960-04-01,1.1487441182481393,0.14230201459882058,1.6173433643134056,2.3062218516839668,-3.4903668579171594,-0.16290976696634063,-0.016346520818369348,-0.06112823925711136,0
1960-05-01,1960,5,1960-05-01,2.059384867749354,0.10032439476650451,1.110881489549361,2.5101858827716286,-2.812786490057336,-0.1649450346240468,-0.02785702435434889,-0.08184755180638315,0
1960-06-01,1960,6,1960-06-01,1.3936516823166032,0.08731719836021912,0.30866070859025596,2.355098323045171,-2.180695313755594,-0.17699321287268996,-0.04522369880814042,-0.09842482403855402,0
1960-07-01,1960,7,1960-07-01,1.8356950993660939,0.0616507644897516,0.6327865258989338,2.4143335384539872,-1.538897359278002,-0.1398630199179787,-0.023401379786234633,-0.10914539150912828,0
1960-08-01,1960,8,1960-08-01,0.680064691210799,0.09126354333865938,0.15095007624641688,1.890509315248314,-1.1144173304886358,-0.08857910818411455,0.020898090003029113,-0.1248906236767573,0
1960-09-01,1960,9,1960-09-01,-0.9654642870695227,0.1014279251239178,0.14814950373575392,1.9047522547084514,-0.9437496361119678,-0.045629159682785636,0.05269729839344811,-0.13813651058410137,0
1960-10-01,1960,10,1960-10-01,-0.6086167628214876,0.11766947698786362,0.4921821435254423,2.3347912112997613,-0.7385153613951473,-0.04683410921360043,0.01618553337649553,-0.1521922919180757,0
1960-11-01,1960,11,1960-11-01,-1.2743428885139025,0.10612942627496813,0.33352363548330677,2.4396899795736013,-0.5792094873328733,-0.029718730063621968,-0.019515764380538148,-0.12960612952568307,0
1960-12-01,1960,12,1960-12-01,-0.3849925802102798,0.12340009518883527,0.5598377548231588,2.527091857307632,-0.37679606224503215,-0.02675820693622355,-0.035194680501641706,-0.09866315100197409,0
1961-01-01,1961,1,1961-01-01,-0.7099158064997595,0.12834420248885925,0.34012869042817745,2.4406201459828507,0.012524746242860818,-0.029644059434871722,-0.05339647325025654,-0.07024493446379232,0
