,tws
1901-01-01,-4.5839093936238395
1901-02-01,-7.340710940441191
1901-03-01,0.28991686564100294
1901-04-01,-3.4278721182884073
1901-05-01,-7.187600670374948
1901-06-01,-5.606516414379186
1901-07-01,-2.5452604726230286
1901-08-01,-3.5036302626878606
1901-09-01,-4.5451023317543955
1901-10-01,-7.497412704133601
1901-11-01,-8.510815151246101
1901-12-01,-2.45897647135525
1902-01-01,-6.228159266949827
1902-02-01,-4.02799116639158
1902-03-01,2.3385429084852087
1902-04-01,-2.8317331911914305
1902-05-01,-7.19920641978375
1902-06-01,-10.763611235184849
1902-07-01,-11.36848022166265
1902-08-01,-10.347766176031422
1902-09-01,-10.153420817679566
1902-10-01,-12.584804994007719
1902-11-01,-10.462643695271012
1902-12-01,-12.73458360892617
1903-01-01,-13.847631599777685
1903-02-01,-13.606278010538464
1903-03-01,-19.664411621415972
1903-04-01,-15.889399576230916
1903-05-01,-15.74273841336098
1903-06-01,-13.49446131429272
1903-07-01,-14.388479964050578
1903-08-01,-10.440563212887767
1903-09-01,-8.928650799191391
1903-10-01,-9.155293142147558
1903-11-01,-8.298434183611544
1903-12-01,-8.810816151927698
1904-01-01,-3.21204103672908
1904-02-01,-6.381665686069922
1904-03-01,-4.600559955727995
1904-04-01,-3.2949962246277815
1904-05-01,-1.8442492780869373
1904-06-01,-1.9165971320072102
1904-07-01,-2.2230035517244597
1904-08-01,-9.00720190850745
1904-09-01,-10.80909809562233
1904-10-01,-10.258134013015695
1904-11-01,-9.629292218225126
1904-12-01,-9.606898589586395
1905-01-01,-10.881647608109171
1905-02-01,-11.802865128756375
1905-03-01,-12.318799536032916
1905-04-01,-11.560510278334863
1905-05-01,-11.145289619769251
1905-06-01,-14.895942834279099
1905-07-01,-13.940835726716658
1905-08-01,-13.978467255683483
1905-09-01,-11.16583925350495
1905-10-01,-10.325170023102151
1905-11-01,-11.51522601040462
1905-12-01,-11.181028834581397
1906-01-01,-2.6171751072239213
1906-02-01,-7.692129086271156
1906-03-01,-6.551728555268283
1906-04-01,-1.3874643112148506
1906-05-01,-1.550565859729803
1906-06-01,-3.3472322036756053
1906-07-01,-3.0193958267929024
1906-08-01,0.053415151585179926
1906-09-01,-4.543589027224285
1906-10-01,-5.630222154095572
1906-11-01,-7.9053885150164245
1906-12-01,-7.48809456535042
1907-01-01,-6.744103437752889
1907-02-01,0.7172012240254683
1907-03-01,0.6939829652070342
1907-04-01,0.5739302198248011
1907-05-01,3.473157760615034
1907-06-01,0.981307883577488
1907-07-01,-0.7045310872092175
1907-08-01,-2.937941739422831
1907-09-01,-3.9324160214190362
1907-10-01,-6.178788756962387
1907-11-01,-7.352782705469344
1907-12-01,-3.375332329756511
1908-01-01,-4.538306068615066
1908-02-01,-5.162156146233018
1908-03-01,-6.628796590768321
1908-04-01,-8.90322475708
1908-05-01,-4.750603721500149
1908-06-01,-10.781596919953728
1908-07-01,-7.790620425373847
1908-08-01,-5.340301737585117
1908-09-01,-4.424167576113389
1908-10-01,-1.8093181713564086
1908-11-01,0.06699024692778056
1908-12-01,0.46234599719809205
1909-01-01,-5.41285178549893
1909-02-01,-6.256754543012153
1909-03-01,-6.461062215063434
1909-04-01,-5.100745496726749
1909-05-01,-4.099057668987915
1909-06-01,-3.4833934161100544
1909-07-01,-4.580379541157712
1909-08-01,-1.6977936947261876
1909-09-01,-1.9970701311307568
1909-10-01,-3.4144066240763373
1909-11-01,-2.924413386259307
1909-12-01,-7.324628519942708
1910-01-01,-5.486269137649787
1910-02-01,-5.685204159220927
1910-03-01,-4.140810293400602
1910-04-01,-0.05733769884154805
1910-05-01,0.12340497422008226
1910-06-01,-0.9512220384734107
1910-07-01,0.06322198890628236
1910-08-01,-0.6212874862940619
1910-09-01,-0.8944814422010217
1910-10-01,3.147455430250434
1910-11-01,0.0035765542128849783
1910-12-01,0.7235526133212477
1911-01-01,-1.7749366866032195
1911-02-01,-2.0432334333397018
1911-03-01,0.9629105144153431
1911-04-01,1.4543520148335731
1911-05-01,-0.44470426904408106
1911-06-01,-0.488290185232711
1911-07-01,-3.1692376632307737
1911-08-01,-4.452773223649121
1911-09-01,-8.51643981940083
